MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2005,BMW,330Ci,SUBCOMPACT,3.0,6,AM6,Z,12.8,8.6,10.9,26,251,,
2005,BMW,330Ci,SUBCOMPACT,3.0,6,M6,Z,13.2,8.7,11.2,25,258,,
2005,BMW,330Ci CONVERTIBLE,MINICOMPACT,3.0,6,A5,Z,14.4,10.1,12.4,23,285,,
2005,BMW,330Ci CONVERTIBLE,MINICOMPACT,3.0,6,AM6,Z,13.3,8.9,11.3,25,260,,
2005,BMW,330Ci CONVERTIBLE,MINICOMPACT,3.0,6,M6,Z,13.6,9.0,11.6,24,267,,
2005,BMW,330i,COMPACT,3.0,6,A5,Z,13.8,9.5,11.9,24,274,,
2005,BMW,330i,COMPACT,3.0,6,AM6,Z,12.8,8.6,10.9,26,251,,
2005,BMW,330i,COMPACT,3.0,6,M6,Z,13.2,8.7,11.2,25,258,,
2005,BMW,330xi,COMPACT,3.0,6,A5,Z,14.6,10.2,12.6,22,290,,
2005,BMW,330xi,COMPACT,3.0,6,M6,Z,13.3,8.8,11.3,25,260,,
2005,BMW,525i,MID-SIZE,2.5,6,A6,Z,14.0,9.0,11.8,24,271,,
2005,BMW,525i,MID-SIZE,2.5,6,AM6,Z,12.0,8.0,10.2,28,235,,
2005,BMW,525i,MID-SIZE,2.5,6,M6,Z,13.9,9.0,11.7,24,269,,
2005,BMW,530i,MID-SIZE,3.0,6,A6,Z,13.7,8.9,11.6,24,267,,
2005,BMW,530i,MID-SIZE,3.0,6,AM6,Z,12.8,8.6,10.9,26,251,,
2005,BMW,530i,MID-SIZE,3.0,6,M6,Z,13.2,8.7,11.2,25,258,,
2005,BMW,545i,MID-SIZE,4.4,8,A6,Z,14.6,9.7,12.4,23,285,,
2005,BMW,545i,MID-SIZE,4.4,8,AM6,Z,16.1,10.2,13.4,21,308,,
2005,BMW,545i,MID-SIZE,4.4,8,M6,Z,16.0,10.2,13.4,21,308,,
2005,BMW,645Ci,SUBCOMPACT,4.4,8,A6,Z,14.6,9.7,12.4,23,285,,
2005,BMW,645Ci,SUBCOMPACT,4.4,8,AM6,Z,16.1,10.2,13.4,21,308,,
2005,BMW,645Ci,SUBCOMPACT,4.4,8,M6,Z,16.0,10.2,13.4,21,308,,
