Model,Make,Model,Vehicle Class,Motor,Engine Size,Cylinders,Transmission,Fuel,Consumption,Range 1,Recharge,Fuel,Consumption,,,Range 2,CO2 Emissions,CO2,Smog
Year,,,,(kW),(L),,,Type 1,Combined Le/100 km,(km),Time (h),Type 2,City (L/100 km),Hwy (L/100 km),Comb (L/100 km),(km),(g/km),Rating,Rating
2018,Mercedes-Benz,GLC 350e 4MATIC,SUV: Small,85,2.0,4,A7,B/Z*,4.2 ([36.5 kWh + 0.0 L]/100 km),21,1.9,Z,9.8,8.6,9.3,541,146,9,7
2018,Mercedes-Benz,GLE 550e 4MATIC,SUV: Standard,85,3.0,6,AS7,B/Z,5.5 ([42.6 kWh + 0.8 L]/100 km),19,1.9,Z,11.8,10.3,11.1,719,184,7,6
2018,MINI,Cooper SE Countryman ALL4,Mid-size,65,1.5,3,AS6,B/Z*,3.6 ([31.4 kWh + 0.0 L]/100 km),19,3,Z,8.4,8.8,8.6,420,139,9,3
2018,Mitsubishi,Outlander PHEV AWD,SUV: Small,60,2.0,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3.5,X,9.4,9.0,9.2,463,108,10,7
2018,Porsche,Cayenne S E-Hybrid,SUV: Standard,71,3.0,6,AM8,B,5.1 (44.2 kWh/100 km),23,3,Z,11.3,9.8,10.6,768,160,8,3
2018,Toyota,Prius Prime,Mid-size,71,1.8,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7
2018,Volvo,S90 T8 AWD,Mid-size,65,2.0,4,AS8,B/Z*,3.2 ([27.7 kWh + 0.0 L]/100 km),34,3,Z,8.9,7.1,8.1,621,100,10,7
2018,Volvo,XC60 T8 AWD,SUV: Small,65,2.0,4,AS8,B/Z*,4.0 ([34.9 kWh + 0.0 L]/100 km),27,3,Z,10.1,8.5,9.4,534,133,9,7
2018,Volvo,XC90 T8 AWD,SUV: Standard,65,2.0,4,AS8,B/Z*,3.9 ([34.4 kWh + 0.0 L]/100 km),27,3,Z,9.6,8.6,9.2,547,130,9,7
2019,BMW,530e,Compact,83,2.0,4,AS8,B/Z*,3.3 ([28.5 kWh + 0.0 L]/100 km),26,2,Z,8.6,7.7,8.2,560,120,10,7
2019,BMW,530e xDrive,Compact,83,2.0,4,AS8,B/Z*,3.5 ([30.2 kWh + 0.0 L]/100 km),24,2,Z,8.8,7.7,8.3,554,124,10,7
2019,BMW,740e xDrive,Full-size,83,2.0,4,AS8,B/Z*,3.6 ([32.1 kWh + 0.0 L]/100 km),23,3,Z,9.5,8.0,8.8,525,133,9,3
2019,BMW,i3 REx (120 Ah),Subcompact,125,0.6,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7
2019,BMW,i3s REx (120 Ah),Subcompact,135,0.6,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7
2019,BMW,i8 Coupe,Subcompact,105,1.5,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3
2019,BMW,i8 Roadster,Two-seater,105,1.5,3,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29,3,Z,9.2,8.0,8.7,488,118,10,3
2019,Chevrolet,Volt,Compact,111,1.5,4,AV,B,2.2 (19.5 kWh/100 km),85,4.5,X,5.5,5.6,5.6,591,32,10,7
2019,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8.0,7.9,8.0,784,74,10,7
2019,Ford,Fusion Energi,Mid-size,35,2.0,4,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42,2.6,X,5.5,5.8,5.6,940,61,10,7
2019,Honda,Clarity Plug-in Hybrid,Mid-size,135,1.5,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2.5,X,5.3,5.9,5.6,475,36,10,8
